"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_url","Answer.Answer_1","Answer.Answer_2","Answer.Answer_3","Answer.Answer_4","Approve","Reject"
"35O6H0UNLSXTX823381Z35W4H3KJ5H","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3CFVK00FWM3XYMOB1ESJ0AJEWAQL6O","A610SH5RY1NG1","Approved","Tue Jul 05 13:26:32 PDT 2016","Tue Jul 05 13:26:42 PDT 2016","Tue Jul 05 21:26:42 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","10","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/2871989067.jpg","1","0","2",""
"35O6H0UNLSXTX823381Z35W4H3KJ5H","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3OSWBBLG1FFRJPKFPK3LHAOTK5HXD8","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:17:51 PDT 2016","Tue Jul 05 13:18:13 PDT 2016","Tue Jul 05 21:18:13 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","22","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/2871989067.jpg","1","0","2",""
"35O6H0UNLSXTX823381Z35W4H3KJ5H","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3S4AW7T80C0JJZKXIQZ43CZ00JJL42","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:25:23 PDT 2016","Tue Jul 05 13:25:28 PDT 2016","Tue Jul 05 21:25:28 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","5","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/2871989067.jpg","1","0","2",""
"309D674SHZ28EAD6UQBQJNJ11FXBCW","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","32SVAV9L3GRH5KAPLL5VKTRJS7R3AK","A3G3205514RC9K","Approved","Tue Jul 05 13:29:13 PDT 2016","Tue Jul 05 13:29:48 PDT 2016","Tue Jul 05 21:29:48 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","35","100% (19/19)","100% (19/19)","100% (19/19)","http://s3.amazonaws.com/caption-scene/upload_batches/7000_8000/2647755755.jpg","1","0","2",""
"309D674SHZ28EAD6UQBQJNJ11FXBCW","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3J4Q2Z4UTZL6JYJUK1DJFQHLUI8WQR","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:29:47 PDT 2016","Tue Jul 05 13:29:52 PDT 2016","Tue Jul 05 21:29:52 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","5","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/7000_8000/2647755755.jpg","1","0","3",""
"309D674SHZ28EAD6UQBQJNJ11FXBCW","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3OE22WJIGJ6TRUUPP1YIX2WO92RUQK","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:20:46 PDT 2016","Tue Jul 05 13:21:38 PDT 2016","Tue Jul 05 21:21:38 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","52","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/7000_8000/2647755755.jpg","1","0","3",""
"3YCT0L9OMMQQM0RZU26ZPNND47WSNV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","38F5OAUN5OUEGQJQT3IDEWQ3A47H7I","A3DTBL9NV7SDQC","Approved","Tue Jul 05 13:34:23 PDT 2016","Tue Jul 05 13:34:54 PDT 2016","Tue Jul 05 21:34:54 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","31","100% (4/4)","100% (4/4)","100% (4/4)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4455999741.jpg","1","0","4",""
"3YCT0L9OMMQQM0RZU26ZPNND47WSNV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","38SKSKU7R2FDR6JC3F18XD9J51RILL","A610SH5RY1NG1","Approved","Tue Jul 05 13:33:32 PDT 2016","Tue Jul 05 13:33:39 PDT 2016","Tue Jul 05 21:33:39 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","7","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4455999741.jpg","1","0","4",""
"3YCT0L9OMMQQM0RZU26ZPNND47WSNV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3JPSL1DZ5THO9O3Z34PAT7PPXOMANB","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:33:31 PDT 2016","Tue Jul 05 13:33:38 PDT 2016","Tue Jul 05 21:33:38 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","7","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4455999741.jpg","1","0","0",""
"388FBO7JZRANIM38T8YO79BELSTNY5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","31LVTDXBL8SQK5MVT2VHB5AASXBRLZ","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:35:06 PDT 2016","Tue Jul 05 13:35:50 PDT 2016","Tue Jul 05 21:35:50 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","44","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4151679198.jpg","1","0","2",""
